twitter handle,date,content,url,covid_1,covid_2,covid_3,covid_final,other_1,other_2,other_3,other_final
@hinsonashley,"April 17, 2020 at 05:58PM",RT @Team_HinsonIA: Three specific ways @hinsonashley is staying busy during quarantine.  https://t.co/Ez15m7PndR #IA01 #KAG #VoteASHLEY,http://twitter.com/hinsonashley/status/1251268892510629891,,,FALSE,0,,,FALSE,0
@hinsonashley,"April 18, 2020 at 09:03AM","Quarantine is a unique and crazy time for everyone. 3 ways I'm keeping busy:  CC: @WinningForWomen 
https://t.co/O34Thn7S63 #IA01 #VoteASHLEY",http://twitter.com/hinsonashley/status/1251496604475023362,,,FALSE,0,,,FALSE,0
@hinsonashley,"April 18, 2020 at 08:27PM","RT @hinsonashley: Now is not the time for Speaker Pelosi and Democratic House Leadership to be playing political games. People must come first. Workers and small businesses need assistance now.  The emergency economic relief program should be extended immediately.  #IA01 
https://t.co/kK3heziDrD",http://twitter.com/hinsonashley/status/1251668780457111553,,,FALSE,0,,,FALSE,0
@hinsonashley,"April 19, 2020 at 08:19AM",Rapid Fire with @WinningForWomen  https://t.co/S15fnXKhjX #IA01 #VoteASHLEY,http://twitter.com/hinsonashley/status/1251847962571034624,,,FALSE,0,,,FALSE,0
@hinsonashley,"April 19, 2020 at 09:54AM",https://t.co/peOc2zTfGW https://t.co/bQpSaOaIMy,http://twitter.com/hinsonashley/status/1251871864110166016,,,FALSE,0,,,FALSE,0
@hinsonashley,"April 19, 2020 at 02:53PM",RT @GrassleyWorks: Iowans 👏🏻 Lending👏🏻 Helping👏🏻 Hands👏🏻 #biofuel @iowafuel https://t.co/TRKp898arh,http://twitter.com/hinsonashley/status/1251947108728557570,,,FALSE,0,,,FALSE,0
@hinsonashley,"April 20, 2020 at 08:02AM",Together can can combat #COVID19 in our communities - https://t.co/I7FMloGno0 #IA01 #VoteASHLEY,http://twitter.com/hinsonashley/status/1252206043834318848,,,FALSE,0,,,FALSE,0
@hinsonashley,"April 20, 2020 at 08:56AM","Act now to support Iowa veterans during the coronavirus - ""We cannot allow our nations heroes to fall through the cracks of government’s red tape."" Read my full piece: https://t.co/Rv1yGIcmY3 #IA01",http://twitter.com/hinsonashley/status/1252219632087379969,,,FALSE,0,,,FALSE,0
@hinsonashley,"April 20, 2020 at 10:31AM","RT @VIEWPAC: @hinsonashley is continuing to lead during #COVID19.  ""We cannot allow our nations heroes to fall through the cracks of government’s red tape."" @GOPWomen #IA01 #VoteASHLEY #VIEWPAC https://t.co/3yLYRnfaub",http://twitter.com/hinsonashley/status/1252243535996366855,,,FALSE,0,,,FALSE,0
@hinsonashley,"April 20, 2020 at 12:14PM","RT @hinsonashley: Act now to support Iowa veterans during the coronavirus - ""We cannot allow our nations heroes to fall through the cracks of government’s red tape."" Read my full piece: https://t.co/Rv1yGIcmY3 #IA01",http://twitter.com/hinsonashley/status/1252269383956803584,,,FALSE,0,,,FALSE,0
@hinsonashley,"April 20, 2020 at 12:14PM","RT @WinningForWomen: GET TO KNOW @hinsonashley, a candidate for Congress in #IA01 who earned @Winningforwomen’s endorsement. We asked her to answer a few questions about herself – and some of her responses might surprise you!",http://twitter.com/hinsonashley/status/1252269422905090049,,,FALSE,0,,,FALSE,0
@hinsonashley,"April 20, 2020 at 09:46PM",RT @WinningForWomen: See what @HinsonAshley’s experience as a TV reporter taught her to never leave home without ⬇️ https://t.co/OpAMaV6J8K,http://twitter.com/hinsonashley/status/1252413378129129472,,,FALSE,0,,,FALSE,0
@hinsonashley,"April 20, 2020 at 09:48PM","I commend @joniernst for her leadership in calling on the Senate to ensure publicly-owned hospitals like many rural, county-owned hospitals throughout Iowa, are eligible for relief provided in the Paycheck Protection Program.  #IA01",http://twitter.com/hinsonashley/status/1252413814231822337,,,FALSE,0,,,FALSE,0
